volume_stratum,p,dice_mean,dice_std,recall_mean,recall_std
large,1.0,0.8075616463808402,0.012511937913811581,0.7154513664143506,0.002264663493123821
large,1.5,0.8086937138605542,0.004344187427725463,0.7186173940963149,0.0036408825089373955
large,2.0,0.7889143847251138,0.00831752348982342,0.7142905143046793,0.011689047451672879
large,2.5,0.7855548538752849,0.002166634001075519,0.7134004319801087,0.005096271424973736
large,3.0,0.790673819603651,0.0026628526753022836,0.7096704485667233,0.0035995455173705925
large,4.0,0.7634043940737673,0.06166056748348295,0.7216971818407673,0.005878622182048272
medium,1.0,0.8340389467656001,0.02458316623312876,0.7733769830498942,0.00744868558259757
medium,1.5,0.833467465650109,0.009469757611305371,0.7764806274082178,0.008708948131669053
medium,2.0,0.8173592814571213,0.008305570438263058,0.782963756833015,0.005833739838957017
medium,2.5,0.8093770714796236,0.01790202664427926,0.7877844461335783,0.005290397352607245
medium,3.0,0.8177877804730621,0.006484983831124953,0.7816693457416332,0.009568274726010127
medium,4.0,0.7847591555188772,0.06795153076423321,0.7925979018544971,0.02056621331052813
small,1.0,0.8198859594960188,0.03016015759045011,0.6658057745845071,0.022143236272865442
small,1.5,0.8219426647656163,0.010990549552026984,0.6561522422157711,0.017069120294262875
small,2.0,0.8044367303885291,0.004718999655085721,0.7004675145898759,0.008270427630461805
small,2.5,0.7944708616060238,0.026972571389561058,0.6888055012673234,0.010042478077327015
small,3.0,0.8088502472999225,0.0058559382472224185,0.6858118833003592,0.017301699202256826
small,4.0,0.7702780491718236,0.07090901055454894,0.7083532710829995,0.030959850322410262
